IncrementalKey,Timestamp,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,OrderDate,DueDate,ShipDate
5536,2024-08-24T18:56:29.5900000,488,20121230,20130111,20130106,24604,1,6,SO51212,5,1,53.9900,41.5723,41.5723,53.9900,4.3192,1.3498,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
2228,2024-08-24T18:56:29.5900000,371,20111231,20120112,20120107,21173,1,6,SO46697,1,1,2181.5625,1320.6838,1320.6838,2181.5625,174.5250,54.5391,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
2220,2024-08-24T18:56:29.5900000,369,20111231,20120112,20120107,13032,2,100,SO46689,1,1,2443.3500,1518.7864,1518.7864,2443.3500,195.4680,61.0838,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
10458,2024-08-24T18:56:29.5900000,475,20130226,20130310,20130305,19860,1,100,SO53369,1,1,69.9900,26.1763,26.1763,69.9900,5.5992,1.7498,2013-02-26T00:00:00.0000000,2013-03-10T00:00:00.0000000,2013-03-05T00:00:00.0000000
5445,2024-08-24T18:56:29.5900000,372,20121228,20130109,20130104,12132,1,100,SO51181,1,1,2443.3500,1554.9479,1554.9479,2443.3500,195.4680,61.0838,2012-12-28T00:00:00.0000000,2013-01-09T00:00:00.0000000,2013-01-04T00:00:00.0000000
5604,2024-08-24T18:56:29.5900000,353,20121231,20130112,20130107,11076,2,6,SO51239,1,1,2319.9900,1265.6195,1265.6195,2319.9900,185.5992,57.9998,2012-12-31T00:00:00.0000000,2013-01-12T00:00:00.0000000,2013-01-07T00:00:00.0000000
1980,2024-08-24T18:56:29.5900000,350,20111125,20111207,20111202,11994,1,6,SO46309,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2011-11-25T00:00:00.0000000,2011-12-07T00:00:00.0000000,2011-12-02T00:00:00.0000000
6,2024-08-24T18:56:29.5900000,311,20101230,20110111,20110106,27645,1,100,SO43702,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-30T00:00:00.0000000,2011-01-11T00:00:00.0000000,2011-01-06T00:00:00.0000000
2212,2024-08-24T18:56:29.5900000,362,20111229,20120110,20120105,12349,2,6,SO46681,1,1,2049.0982,1105.8100,1105.8100,2049.0982,163.9279,51.2275,2011-12-29T00:00:00.0000000,2012-01-10T00:00:00.0000000,2012-01-05T00:00:00.0000000
211,2024-08-24T18:56:29.5900000,342,20110210,20110222,20110217,25271,1,6,SO43982,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-02-10T00:00:00.0000000,2011-02-22T00:00:00.0000000,2011-02-17T00:00:00.0000000
941,2024-08-24T18:56:29.5900000,332,20110620,20110702,20110627,14649,1,100,SO44965,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-06-20T00:00:00.0000000,2011-07-02T00:00:00.0000000,2011-06-27T00:00:00.0000000
4607,2024-08-24T18:56:29.5900000,341,20121010,20121022,20121017,15780,1,100,SO50023,1,1,782.9900,486.7066,486.7066,782.9900,62.6392,19.5748,2012-10-10T00:00:00.0000000,2012-10-22T00:00:00.0000000,2012-10-17T00:00:00.0000000
1469,2024-08-24T18:56:29.5900000,349,20110912,20110924,20110919,11765,1,6,SO45676,1,1,3374.9900,1898.0944,1898.0944,3374.9900,269.9992,84.3748,2011-09-12T00:00:00.0000000,2011-09-24T00:00:00.0000000,2011-09-19T00:00:00.0000000
2207,2024-08-24T18:56:29.5900000,385,20111229,20120110,20120105,18047,1,100,SO46676,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2011-12-29T00:00:00.0000000,2012-01-10T00:00:00.0000000,2012-01-05T00:00:00.0000000
5599,2024-08-24T18:56:29.5900000,357,20121231,20130112,20130107,11061,1,6,SO51237,1,1,2319.9900,1265.6195,1265.6195,2319.9900,185.5992,57.9998,2012-12-31T00:00:00.0000000,2013-01-12T00:00:00.0000000,2013-01-07T00:00:00.0000000
3980,2024-08-24T18:56:29.5900000,327,20120803,20120815,20120810,26749,1,6,SO49216,1,1,782.9900,486.7066,486.7066,782.9900,62.6392,19.5748,2012-08-03T00:00:00.0000000,2012-08-15T00:00:00.0000000,2012-08-10T00:00:00.0000000
5484,2024-08-24T18:56:29.5900000,604,20121229,20130110,20130105,18906,1,6,SO51196,1,1,539.9900,343.6496,343.6496,539.9900,43.1992,13.4998,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
5384,2024-08-24T18:56:29.5900000,383,20121223,20130104,20121230,25240,1,6,SO51036,1,1,1000.4375,605.6492,605.6492,1000.4375,80.0350,25.0109,2012-12-23T00:00:00.0000000,2013-01-04T00:00:00.0000000,2012-12-30T00:00:00.0000000
14,2024-08-24T18:56:29.5900000,314,20101231,20110112,20110107,16517,1,6,SO43710,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-31T00:00:00.0000000,2011-01-12T00:00:00.0000000,2011-01-07T00:00:00.0000000
640,2024-08-24T18:56:29.5900000,345,20110506,20110518,20110513,11117,1,6,SO44601,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2011-05-06T00:00:00.0000000,2011-05-18T00:00:00.0000000,2011-05-13T00:00:00.0000000
47,2024-08-24T18:56:29.5900000,347,20110109,20110121,20110116,11007,1,6,SO43743,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2011-01-09T00:00:00.0000000,2011-01-21T00:00:00.0000000,2011-01-16T00:00:00.0000000
990,2024-08-24T18:56:29.5900000,322,20110627,20110709,20110704,25705,1,6,SO45014,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-06-27T00:00:00.0000000,2011-07-09T00:00:00.0000000,2011-07-04T00:00:00.0000000
1,2024-08-24T18:56:29.5900000,310,20101229,20110110,20110105,21768,1,19,SO43697,1,1,3578.2700,2171.2942,2171.2942,3578.2700,286.2616,89.4568,2010-12-29T00:00:00.0000000,2011-01-10T00:00:00.0000000,2011-01-05T00:00:00.0000000
5552,2024-08-24T18:56:29.5900000,480,20121230,20130111,20130106,11449,1,6,SO51217,4,1,2.2900,0.8565,0.8565,2.2900,0.1832,0.0573,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
832,2024-08-24T18:56:29.5900000,328,20110607,20110619,20110614,14651,1,100,SO44856,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-06-07T00:00:00.0000000,2011-06-19T00:00:00.0000000,2011-06-14T00:00:00.0000000
12,2024-08-24T18:56:29.5900000,330,20101231,20110112,20110107,20042,1,98,SO43708,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2010-12-31T00:00:00.0000000,2011-01-12T00:00:00.0000000,2011-01-07T00:00:00.0000000
5429,2024-08-24T18:56:29.5900000,380,20121228,20130109,20130104,18239,1,6,SO51176,1,1,2443.3500,1554.9479,1554.9479,2443.3500,195.4680,61.0838,2012-12-28T00:00:00.0000000,2013-01-09T00:00:00.0000000,2013-01-04T00:00:00.0000000
2226,2024-08-24T18:56:29.5900000,358,20111231,20120112,20120107,20208,1,19,SO46695,1,1,2049.0982,1105.8100,1105.8100,2049.0982,163.9279,51.2275,2011-12-31T00:00:00.0000000,2012-01-12T00:00:00.0000000,2012-01-07T00:00:00.0000000
1728,2024-08-24T18:56:29.5900000,324,20111023,20111104,20111030,19472,1,100,SO45972,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-10-23T00:00:00.0000000,2011-11-04T00:00:00.0000000,2011-10-30T00:00:00.0000000
1604,2024-08-24T18:56:29.5900000,340,20111004,20111016,20111011,14852,1,100,SO45848,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2011-10-04T00:00:00.0000000,2011-10-16T00:00:00.0000000,2011-10-11T00:00:00.0000000
5512,2024-08-24T18:56:29.5900000,477,20121230,20130111,20130106,11240,1,98,SO51205,3,1,4.9900,1.8663,1.8663,4.9900,0.3992,0.1248,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
5485,2024-08-24T18:56:29.5900000,479,20121229,20130110,20130105,18906,1,6,SO51196,2,1,8.9900,3.3623,3.3623,8.9900,0.7192,0.2248,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
2,2024-08-24T18:56:29.5900000,346,20101229,20110110,20110105,28389,1,39,SO43698,1,1,3399.9900,1912.1544,1912.1544,3399.9900,271.9992,84.9998,2010-12-29T00:00:00.0000000,2011-01-10T00:00:00.0000000,2011-01-05T00:00:00.0000000
5431,2024-08-24T18:56:29.5900000,577,20121228,20130109,20130104,27873,1,6,SO51177,1,1,1214.8500,755.1508,755.1508,1214.8500,97.1880,30.3713,2012-12-28T00:00:00.0000000,2013-01-09T00:00:00.0000000,2013-01-04T00:00:00.0000000
5557,2024-08-24T18:56:29.5900000,463,20121230,20130111,20130106,25086,1,100,SO51219,4,1,24.4900,9.1593,9.1593,24.4900,1.9592,0.6123,2012-12-30T00:00:00.0000000,2013-01-11T00:00:00.0000000,2013-01-06T00:00:00.0000000
5467,2024-08-24T18:56:29.5900000,580,20121229,20130110,20130105,20824,1,98,SO51190,1,1,1700.9900,1082.5100,1082.5100,1700.9900,136.0792,42.5248,2012-12-29T00:00:00.0000000,2013-01-10T00:00:00.0000000,2013-01-05T00:00:00.0000000
4,2024-08-24T18:56:29.5900000,336,20101229,20110110,20110105,14501,1,100,SO43700,1,1,699.0982,413.1463,413.1463,699.0982,55.9279,17.4775,2010-12-29T00:00:00.0000000,2011-01-10T00:00:00.0000000,2011-01-05T00:00:00.0000000
